   timestamp          x          y         theta        diff_angle
496.980500 -7.0662627 -18.5540829 91.0028152 0.0076981
497.514000 -6.6258092 -18.5581169 91.0055466 0.0027313
497.780500 -6.4081883 -18.5573483 91.0625763 0.0570297
498.313500 -5.9615169 -18.5681553 90.9987717 0.0638046
498.747000 -5.5978680 -18.5744419 91.0009460 0.0021744
499.313500 -5.1233597 -18.5788708 90.9189224 0.0820236
499.681000 -4.8180661 -18.5863304 90.9048157 0.0141068
500.247000 -4.3431702 -18.5872822 91.0144424 0.1096268
500.713500 -3.9506667 -18.5947647 90.9339600 0.0804825
501.147500 -3.5890241 -18.5681744 88.8995590 2.0344009
501.547000 -3.2731025 -18.4863739 84.3176193 4.5819397
501.881000 -3.0147471 -18.3919525 80.0130310 4.3045883
502.180500 -2.7834911 -18.2986736 77.0048981 3.0081329
502.414500 -2.6125348 -18.2222614 74.7067566 2.2981415
502.647500 -2.4470980 -18.1379089 72.1782455 2.5285110
503.147000 -2.1124966 -17.9128418 65.9813461 6.1968994
503.680500 -1.7707177 -17.6478062 60.4312973 5.5500488
504.147500 -1.4997696 -17.3899002 55.0351791 5.3961182
504.547000 -1.2920369 -17.1466274 50.2930260 4.7421532
504.913500 -1.1106397 -16.9182606 46.7953224 3.4977036
505.313500 -0.9386274 -16.6515064 42.2432175 4.5521049
505.680500 -0.8031666 -16.3946476 37.6667824 4.5764351
506.113500 -0.6585523 -16.0822086 33.2794571 4.3873253
506.380500 -0.5802065 -15.8842564 30.7111549 2.5683022
506.547000 -0.5335113 -15.7569199 28.8699493 1.8412056
